Time,Amplitude
-6.000000000000000000e+01,2.077086260184393817e-08
-5.987987987987988703e+01,9.170643007181712989e-08
-5.975975975975976695e+01,1.381644358536826674e-07
-5.963963963963963266e+01,1.117456166298859499e-07
-5.951951951951951969e+01,1.845619794368924574e-09
-5.939939939939939961e+01,1.478438801622611502e-07
-5.927927927927928664e+01,2.239471337593850413e-07
-5.915915915915916656e+01,1.544541686969019840e-07
-5.903903903903903228e+01,3.931079479373156033e-08
-5.891891891891891930e+01,2.360403547531850336e-07
-5.879879879879879923e+01,2.931984395327623432e-07
-5.867867867867868625e+01,1.538503080735359562e-07
-5.855855855855856618e+01,1.011140319990208547e-07
-5.843843843843843899e+01,3.012102420875475913e-07
-5.831831831831831181e+01,3.050037227242067577e-07
-5.819819819819819884e+01,1.035184889945882416e-07
-5.807807807807807876e+01,1.686549331873128583e-07
-5.795795795795796579e+01,3.249384902746579754e-07
-5.783783783783783861e+01,2.568466255586602229e-07
-5.771771771771771142e+01,1.068264810880645342e-08
-5.759759759759759845e+01,2.431261836540500475e-07
-5.747747747747747837e+01,3.271043414615065712e-07
-5.735735735735736540e+01,1.800082748584473723e-07
-5.723723723723723822e+01,9.811419236009687615e-08
-5.711711711711711104e+01,3.113564880336417885e-07
-5.699699699699699806e+01,3.023720987181191524e-07
-5.687687687687687799e+01,6.630420932796262046e-08
-5.675675675675676501e+01,2.359991622419791546e-07
-5.663663663663663783e+01,3.822991836281292229e-07
-5.651651651651651065e+01,2.473123557064854869e-07
-5.639639639639639768e+01,9.358806856046842578e-08
-5.627627627627627760e+01,3.981907460971715671e-07
-5.615615615615616463e+01,4.220905134369179620e-07
-5.603603603603603744e+01,1.083569328121473927e-07
-5.591591591591591026e+01,3.399517885844631603e-07
-5.579579579579579018e+01,5.803251688435914565e-07
-5.567567567567567721e+01,3.823848472279470151e-07
-5.555555555555555713e+01,1.667597913393298444e-07
-5.543543543543544416e+01,6.767772590700605426e-07
-5.531531531531531698e+01,7.172512802467307232e-07
-5.519519519519518980e+01,1.629165429632775604e-07
-5.507507507507507682e+01,6.445808166101254693e-07
-5.495495495495495675e+01,1.085615017848762356e-06
-5.483483483483484378e+01,7.156737956181824368e-07
-5.471471471471472370e+01,3.356391826375426979e-07
-5.459459459459458941e+01,1.354324370637871704e-06
-5.447447447447447644e+01,1.502811469251352822e-06
-5.435435435435435636e+01,4.694063570087059496e-07
-5.423423423423424339e+01,1.178687315015317191e-06
-5.411411411411412331e+01,2.273365193212584478e-06
-5.399399399399399613e+01,1.847137403622634131e-06
-5.387387387387388316e+01,7.919698631808635535e-08
-5.375375375375375597e+01,2.336982850967617055e-06
-5.363363363363363590e+01,3.303132234755312847e-06
-5.351351351351352292e+01,2.050134470009901356e-06
-5.339339339339339574e+01,8.510882856720413987e-07
-5.327327327327328277e+01,3.532074459436707130e-06
-5.315315315315315559e+01,4.024216219273846613e-06
-5.303303303303303551e+01,1.697511298109244336e-06
-5.291291291291292254e+01,2.097199692966400384e-06
-5.279279279279280246e+01,4.767285769409545955e-06
-5.267267267267267528e+01,4.235215899533240157e-06
-5.255255255255255520e+01,5.434920082670880003e-07
-5.243243243243243512e+01,3.909957451895290709e-06
-5.231231231231232215e+01,5.870411639718798219e-06
-5.219219219219220207e+01,3.573057757459307967e-06
-5.207207207207207489e+01,1.719899159685372959e-06
-5.195195195195194771e+01,6.283786815941632984e-06
-5.183183183183183473e+01,6.477099270357361820e-06
-5.171171171171171466e+01,1.594435692262557998e-06
-5.159159159159160168e+01,5.159472619696299405e-06
-5.147147147147147450e+01,8.642314333514908406e-06
-5.135135135135134732e+01,5.597800839982562644e-06
-5.123123123123123435e+01,2.436241297673627359e-06
-5.111111111111111427e+01,9.638077956475227167e-06
-5.099099099099100130e+01,9.984411787186343171e-06
-5.087087087087086701e+01,2.159171334152443060e-06
-5.075075075075074693e+01,8.614814187839646808e-06
-5.063063063063063396e+01,1.385378373101844900e-05
-5.051051051051051388e+01,8.335357597883202187e-06
-5.039039039039040091e+01,5.027827263305085030e-06
-5.027027027027027373e+01,1.631057752667009047e-05
-5.015015015015014654e+01,1.574659281549090135e-05
-5.003003003003003357e+01,1.928943999805476995e-06
-4.990990990990991349e+01,1.567614631028996415e-05
-4.978978978978980052e+01,2.293054715537104547e-05
-4.966966966966967334e+01,1.212451655794399826e-05
-4.954954954954954616e+01,1.056589451957623572e-05
-4.942942942942942608e+01,2.808152130948599076e-05
-4.930930930930931311e+01,2.503260008219243649e-05
-4.918918918918919303e+01,7.562756280661276131e-07
-4.906906906906907295e+01,2.792587611604313507e-05
-4.894894894894894577e+01,3.803617476968647489e-05
-4.882882882882882569e+01,1.847368580655728268e-05
-4.870870870870871272e+01,1.919656749520770738e-05
-4.858858858858859264e+01,4.703658312136527582e-05
-4.846846846846846546e+01,4.119318986679188182e-05
-4.834834834834834538e+01,1.660572093014511919e-06
-4.822822822822822530e+01,4.472405962702552648e-05
-4.810810810810811233e+01,6.239110141233795189e-05
-4.798798798798799226e+01,3.408430556263793057e-05
-4.786786786786786507e+01,2.371161544185828039e-05
-4.774774774774775210e+01,7.022606401950053133e-05
-4.762762762762762492e+01,6.951086181074326957e-05
-4.750750750750750484e+01,1.813795504250081500e-05
-4.738738738738739187e+01,4.997049431131842401e-05
-4.726726726726726469e+01,8.666066153114225718e-05
-4.714714714714715171e+01,6.446207156855997776e-05
-4.702702702702702453e+01,2.572201210197509938e-06
-4.690690690690690445e+01,6.814952060208913527e-05
-4.678678678678679148e+01,8.682489881028116071e-05
-4.666666666666666430e+01,4.660531353699495620e-05
-4.654654654654654422e+01,2.294812678328236012e-05
-4.642642642642642414e+01,7.277918381004897094e-05
-4.630630630630630407e+01,6.980629179760600470e-05
-4.618618618618619109e+01,1.959250364721328822e-05
-4.606606606606607102e+01,3.969965678270079664e-05
-4.594594594594594383e+01,6.629799802996721493e-05
-4.582582582582581665e+01,4.455931308062479820e-05
-4.570570570570570368e+01,5.970632349653543080e-06
-4.558558558558558360e+01,4.721202101148123215e-05
-4.546546546546547063e+01,5.103538872400363748e-05
-4.534534534534535055e+01,1.827675773758203993e-05
-4.522522522522523047e+01,2.444598005829352370e-05
-4.510510510510510329e+01,4.588305951909360704e-05
-4.498498498498498321e+01,3.266191237856128343e-05
-4.486486486486487024e+01,2.847025760225740497e-06
-4.474474474474475016e+01,3.347913352511311505e-05
-4.462462462462462298e+01,3.765486670206701027e-05
-4.450450450450450290e+01,1.415014356785854118e-05
-4.438438438438438283e+01,1.850348854321862471e-05
-4.426426426426426985e+01,3.633148773615549467e-05
-4.414414414414414978e+01,2.707868958606358226e-05
-4.402402402402403681e+01,1.730146037880076750e-06
-4.390390390390390962e+01,2.882207541570645174e-05
-4.378378378378378244e+01,3.452537740527246500e-05
-4.366366366366366947e+01,1.462787310915875253e-05
-4.354354354354354939e+01,1.670380679014331831e-05
-4.342342342342342931e+01,3.683846690827959921e-05
-4.330330330330330924e+01,3.062507947712135532e-05
-4.318318318318318916e+01,1.407480206034122994e-06
-4.306306306306306197e+01,3.068038560262618887e-05
-4.294294294294294900e+01,4.236634531406253501e-05
-4.282282282282282893e+01,2.372200652723804729e-05
-4.270270270270270885e+01,1.401997701434529072e-05
-4.258258258258258877e+01,4.525106045197476308e-05
-4.246246246246246159e+01,4.729035083935666066e-05
-4.234234234234234862e+01,1.649289962098371610e-05
-4.222222222222222854e+01,2.822609625462447336e-05
-4.210210210210210846e+01,5.741081096398174610e-05
-4.198198198198198838e+01,5.074911330866291976e-05
-4.186186186186186120e+01,1.097048901750707935e-05
-4.174174174174174823e+01,3.767914658215368523e-05
-4.162162162162162815e+01,6.538329288010927829e-05
-4.150150150150150807e+01,5.617157686022751528e-05
-4.138138138138138800e+01,1.764915761855936503e-05
-4.126126126126126081e+01,2.513373809291830497e-05
-4.114114114114114074e+01,4.680377278824632379e-05
-4.102102102102102776e+01,3.770455740510344833e-05
-4.090090090090090769e+01,8.288788846040073696e-06
-4.078078078078078761e+01,2.001456363271853972e-05
-4.066066066066066043e+01,3.000364880894522290e-05
-4.054054054054054035e+01,1.912948542791929264e-05
-4.042042042042042738e+01,1.266199451127382813e-06
