Time,Amplitude
-6.000000000000000000e+01,4.167437828076501864e-03
-5.987987987987988703e+01,1.531976097127856970e-02
-5.975975975975976695e+01,1.035601244108336205e-02
-5.963963963963963266e+01,1.094571208780507725e-02
-5.951951951951951969e+01,1.459019058167977494e-02
-5.939939939939939961e+01,4.840958569647813535e-03
-5.927927927927928664e+01,1.613167159462674735e-02
-5.915915915915916656e+01,1.745243563574514368e-03
-5.903903903903903228e+01,1.485216457413555263e-02
-5.891891891891891930e+01,7.551311606911226791e-03
-5.879879879879879923e+01,1.121081560954653375e-02
-5.867867867867868625e+01,1.158762686182363867e-02
-5.855855855855856618e+01,6.089458441463656280e-03
-5.843843843843843899e+01,1.331670875647246108e-02
-5.831831831831831181e+01,5.534487745988251901e-04
-5.819819819819819884e+01,1.270400704694976332e-02
-5.807807807807807876e+01,4.389873948461480227e-03
-5.795795795795796579e+01,1.015127484089066098e-02
-5.783783783783783861e+01,7.980303221689251381e-03
-5.771771771771771142e+01,6.354327365206709384e-03
-5.759759759759759845e+01,9.805334985879788148e-03
-5.747747747747747837e+01,2.124149976554312331e-03
-5.735735735735736540e+01,9.820094847637583085e-03
-5.723723723723723822e+01,1.770277302078270389e-03
-5.711711711711711104e+01,8.277337429297785751e-03
-5.699699699699699806e+01,4.707651544059887616e-03
-5.687687687687687799e+01,5.446537333586483516e-03
-5.675675675675676501e+01,6.840693098367927640e-03
-5.663663663663663783e+01,2.654431627453891860e-03
-5.651651651651651065e+01,7.245343795396390688e-03
-5.639639639639639768e+01,2.561098173964118652e-04
-5.627627627627627760e+01,6.505678229173913335e-03
-5.615615615615616463e+01,2.668179277588897304e-03
-5.603603603603603744e+01,4.915985765610048769e-03
-5.591591591591591026e+01,4.271455127800693162e-03
-5.579579579579579018e+01,2.859487160329640155e-03
-5.567567567567567721e+01,4.953604570957403225e-03
-5.555555555555555713e+01,7.309534860523778229e-04
-5.543543543543544416e+01,4.768304674071730843e-03
-5.531531531531531698e+01,1.131815050667539166e-03
-5.519519519519518980e+01,3.895594177659870809e-03
-5.507507507507507682e+01,2.491523919501779233e-03
-5.495495495495495675e+01,2.589841334190413468e-03
-5.483483483483484378e+01,3.231099544206536903e-03
-5.471471471471472370e+01,1.127858364702964472e-03
-5.459459459459458941e+01,3.348627399391767342e-03
-5.447447447447447644e+01,2.400971922169898990e-04
-5.435435435435435636e+01,2.937959177908196391e-03
-5.423423423423424339e+01,1.323722899928727508e-03
-5.411411411411412331e+01,2.157903403108716624e-03
-5.399399399399399613e+01,2.009326987683002740e-03
-5.387387387387388316e+01,1.193502822336774344e-03
-5.375375375375375597e+01,2.265514403395847264e-03
-5.363363363363363590e+01,2.249886991910649578e-04
-5.351351351351352292e+01,2.131656965024286178e-03
-5.339339339339339574e+01,6.000528603345039493e-04
-5.327327327327328277e+01,1.699482740329961387e-03
-5.315315315315315559e+01,1.182563023653411451e-03
-5.303303303303303551e+01,1.089163056662609914e-03
-5.291291291291292254e+01,1.478755839883102085e-03
-5.279279279279280246e+01,4.260591567847493081e-04
-5.267267267267267528e+01,1.495956308186597227e-03
-5.255255255255255520e+01,1.798576958869732719e-04
-5.243243243243243512e+01,1.283141008217819883e-03
-5.231231231231232215e+01,6.469331990453062054e-04
-5.219219219219220207e+01,9.146541943416485560e-04
-5.207207207207207489e+01,9.295785923725225853e-04
-5.195195195195194771e+01,4.745668075307549888e-04
-5.183183183183183473e+01,1.019222515231937810e-03
-5.171171171171171466e+01,4.311446242593720368e-05
-5.159159159159160168e+01,9.373531052597137416e-04
-5.147147147147147450e+01,3.157889613082436801e-04
-5.135135135135134732e+01,7.277585596152624488e-04
-5.123123123123123435e+01,5.608731863239894760e-04
-5.111111111111111427e+01,4.453545766465666703e-04
-5.099099099099100130e+01,6.759094777445626969e-04
-5.087087087087086701e+01,1.467406391017380513e-04
-5.075075075075074693e+01,6.665720876740300780e-04
-5.063063063063063396e+01,1.204052121435345474e-04
-5.051051051051051388e+01,5.573180495591064992e-04
-5.039039039039040091e+01,3.210205002549549051e-04
-5.027027027027027373e+01,3.833305338092669488e-04
-5.015015015015014654e+01,4.356908068035251634e-04
-5.003003003003003357e+01,1.814797059020164887e-04
-4.990990990990991349e+01,4.635314142793764197e-04
-4.978978978978980052e+01,1.190123336526645739e-05
-4.966966966966967334e+01,4.158670717556150077e-04
-4.954954954954954616e+01,1.688285795032036876e-04
-4.942942942942942608e+01,3.132609805021363981e-04
-4.930930930930931311e+01,2.719030797512493754e-04
-4.918918918918919303e+01,1.805735038027401476e-04
-4.906906906906907295e+01,3.159918956552297282e-04
-4.894894894894894577e+01,4.395999937227109197e-05
-4.882882882882882569e+01,3.041964367287697518e-04
-4.870870870870871272e+01,7.584957283512607949e-05
-4.858858858858859264e+01,2.484841929299773746e-04
-4.846846846846846546e+01,1.637909769477247329e-04
-4.834834834834834538e+01,1.646689138120027414e-04
-4.822822822822822530e+01,2.124248212583493690e-04
-4.810810810810811233e+01,7.003318688729400952e-05
-4.798798798798799226e+01,2.213950430942105633e-04
-4.786786786786786507e+01,1.993829749426688630e-05
-4.774774774774775210e+01,1.964733498643215831e-04
-4.762762762762762492e+01,9.249248789526002201e-05
-4.750750750750750484e+01,1.464977382721730675e-04
-4.738738738738739187e+01,1.403622274085048643e-04
-4.726726726726726469e+01,8.229140122291193850e-05
-4.714714714714715171e+01,1.615444308838121206e-04
-4.702702702702702453e+01,1.586820025172903207e-05
-4.690690690690690445e+01,1.568602368207220351e-04
-4.678678678678679148e+01,4.374918609872757133e-05
-4.666666666666666430e+01,1.309963184236859418e-04
-4.654654654654654422e+01,8.972659388286259336e-05
-4.642642642642642414e+01,9.027769582479051695e-05
-4.630630630630630407e+01,1.187416085487641491e-04
-4.618618618618619109e+01,4.225177952805336682e-05
-4.606606606606607102e+01,1.292230995003464447e-04
-4.594594594594594383e+01,6.808561022902544711e-06
-4.582582582582581665e+01,1.224198962904681355e-04
-4.570570570570570368e+01,5.153918974321661771e-05
-4.558558558558558360e+01,1.007341226957841982e-04
-4.546546546546547063e+01,8.799208100170006499e-05
-4.534534534534535055e+01,6.771652399592240394e-05
-4.522522522522523047e+01,1.129616341162611597e-04
-4.510510510510510329e+01,2.689981495395578082e-05
-4.498498498498498321e+01,1.235110760975893611e-04
-4.486486486486487024e+01,1.918729133777276541e-05
-4.474474474474475016e+01,1.194142698226200903e-04
-4.462462462462462298e+01,6.512854708125222518e-05
-4.450450450450450290e+01,9.847185572221873778e-05
-4.438438438438438283e+01,1.068343696444829785e-04
-4.426426426426426985e+01,6.152546606126643453e-05
-4.414414414414414978e+01,1.377338005785022992e-04
-4.402402402402403681e+01,1.007848747163573901e-05
-4.390390390390390962e+01,1.508698434321501121e-04
-4.378378378378378244e+01,5.180446698124082722e-05
-4.366366366366366947e+01,1.402083647997763886e-04
-4.354354354354354939e+01,1.160948922104001687e-04
-4.342342342342342931e+01,1.012744406081243466e-04
-4.330330330330330924e+01,1.709442766695452062e-04
-4.318318318318318916e+01,3.384686895188348502e-05
-4.306306306306306197e+01,2.010598324670523102e-04
-4.294294294294294900e+01,5.720939502801237006e-05
-4.282282282282282893e+01,1.928926583814322268e-04
-4.270270270270270885e+01,1.553041722801088418e-04
-4.258258258258258877e+01,1.344832408344375093e-04
-4.246246246246246159e+01,2.360038839056612125e-04
-4.234234234234234862e+01,2.575933448048617038e-05
-4.222222222222222854e+01,2.686521032806069693e-04
-4.210210210210210846e+01,1.180512985685655536e-04
-4.198198198198198838e+01,2.043231218665637850e-04
-4.186186186186186120e+01,1.913140248131479199e-04
-4.174174174174174823e+01,1.829823905628781989e-04
-4.162162162162162815e+01,4.012425418236029704e-04
-4.150150150150150807e+01,1.518792600629182495e-04
-4.138138138138138800e+01,2.064410252163677013e-04
-4.126126126126126081e+01,1.807775590605491776e-04
-4.114114114114114074e+01,1.423452379630789767e-04
-4.102102102102102776e+01,2.571559758323657728e-04
-4.090090090090090769e+01,2.704916457918469181e-06
-4.078078078078078761e+01,2.377943631726362991e-04
-4.066066066066066043e+01,1.068092609048911434e-04
-4.054054054054054035e+01,1.680883240638207752e-04
-4.042042042042042738e+01,1.713275949665406966e-04
-4.030030030030030730e+01,7.850015002228213771e-05
-4.018018018018018722e+01,1.880617668475267500e-04
-4.006006006006006004e+01,7.300438755567358437e-06
-3.993993993993993996e+01,1.668680826065013128e-04
-3.981981981981982699e+01,7.327150288275267583e-05
-3.969969969969970691e+01,1.210129406522232002e-04
-3.957957957957958683e+01,1.135889396072509161e-04
-3.945945945945945255e+01,6.566542242573157660e-05
-3.933933933933933957e+01,1.271545318345004393e-04
-3.921921921921921950e+01,1.182532537566711503e-05
-3.909909909909910652e+01,1.188574152677790706e-04
-3.897897897897898645e+01,3.228208034591987927e-05
-3.885885885885885216e+01,9.526096614974963325e-05
-3.873873873873873919e+01,6.265872904741394617e-05
-3.861861861861861911e+01,6.399949946157337257e-05
-3.849849849849850614e+01,7.838663942033875765e-05
-3.837837837837838606e+01,3.153212646440084341e-05
-3.825825825825825888e+01,8.103346831659018711e-05
-3.813813813813813880e+01,2.431859428258338864e-06
-3.801801801801801872e+01,7.409682688611185877e-05
-3.789789789789789154e+01,2.067788174958396359e-05
-3.777777777777778567e+01,6.138988256787509667e-05
-3.765765765765765849e+01,3.694805683137748038e-05
-3.753753753753753131e+01,4.612356161897256525e-05
-3.741741741741741833e+01,4.714823950873602850e-05
-3.729729729729729115e+01,3.006531757715566483e-05
-3.717717717717718529e+01,5.335609844473057319e-05
-3.705705705705705810e+01,1.492261643489051726e-05
-3.693693693693693092e+01,5.603380963046193365e-05
-3.681681681681681795e+01,5.278199020021491734e-07
-3.669669669669669076e+01,5.651380058744473272e-05
-3.657657657657658490e+01,1.649091331719121332e-05
-3.645645645645645061e+01,5.429569054431229816e-05
-3.633633633633633053e+01,3.308495134906174070e-05
-3.621621621621621756e+01,4.724777085647519938e-05
-3.609609609609609748e+01,5.074664294230589977e-05
-3.597597597597598451e+01,3.472571565766420997e-05
-3.585585585585585733e+01,6.653947769835115260e-05
-3.573573573573573725e+01,1.514892284277425035e-05
-3.561561561561561717e+01,7.761317638434621954e-05
-3.549549549549549710e+01,1.247256148387530432e-05
-3.537537537537538412e+01,8.119564830765691875e-05
-3.525525525525526405e+01,4.369965701569642863e-05
-3.513513513513513686e+01,7.211670337888600449e-05
-3.501501501501500968e+01,7.599560368910222732e-05
-3.489489489489489671e+01,4.884639225872309517e-05
-3.477477477477477663e+01,1.037201490153505178e-04
-3.465465465465465655e+01,1.238467922828036432e-05
-3.453453453453454358e+01,1.192496232468777953e-04
-3.441441441441440929e+01,3.485254860009170968e-05
-3.429429429429429632e+01,1.167114956629512496e-04
-3.417417417417417624e+01,8.717643458260664296e-05
-3.405405405405406327e+01,9.280970417075385065e-05
-3.393393393393394319e+01,1.346576883022336177e-04
-3.381381381381381601e+01,4.569356659178938678e-05
-3.369369369369369593e+01,1.678288592051652064e-04
-3.357357357357357586e+01,2.057876693987794695e-05
-3.345345345345346288e+01,1.758307175764640983e-04
-3.333333333333334281e+01,9.865066000248193310e-05
-3.321321321321322273e+01,1.519095609725613569e-04
-3.309309309309308844e+01,1.751070957229831991e-04
-3.297297297297297547e+01,9.215523754496819393e-05
-3.285285285285285539e+01,2.346734744718475207e-04
-3.273273273273273531e+01,1.300636605521928717e-08
-3.261261261261262234e+01,2.608059754953298255e-04
-3.249249249249248805e+01,1.139989383250251438e-04
-3.237237237237237508e+01,2.386203929838883668e-04
-3.225225225225225500e+01,2.336071571019293267e-04
-3.213213213213213493e+01,1.620012191840266647e-04
-3.201201201201202196e+01,3.331128568911892354e-04
-3.189189189189188767e+01,3.035790543352814201e-05
-3.177177177177177114e+01,3.865695195549378820e-04
-3.165165165165165462e+01,1.425980188243533911e-04
-3.153153153153153454e+01,3.675191694069742505e-04
-3.141141141141141802e+01,3.313162111224041292e-04
-3.129129129129128728e+01,2.582387246195232827e-04
-3.117117117117117076e+01,4.950045080093204344e-04
-3.105105105105105423e+01,5.375362690830101984e-05
-3.093093093093093771e+01,5.841672606652983935e-04
-3.081081081081081763e+01,2.267805173300477446e-04
-3.069069069069069045e+01,5.457333545234161181e-04
-3.057057057057057037e+01,5.331649801528023794e-04
-3.045045045045045384e+01,3.387727855757019166e-04
-3.033033033033033732e+01,7.784375256472576962e-04
-3.021021021021021369e+01,3.903901601270262162e-05
-3.009009009009009006e+01,8.596632345069133308e-04
-2.996996996996996643e+01,5.922670276239280470e-04
-2.984984984984984990e+01,4.019342083974634613e-04
-2.972972972972973338e+01,4.398365969563687041e-04
-2.960960960960961330e+01,8.965607990649146269e-04
-2.948948948948948612e+01,1.974531682332122083e-03
-2.936936936936936604e+01,1.346376208010483227e-03
-2.924924924924924952e+01,1.790978314558740094e-04
-2.912912912912913299e+01,6.691186450889876659e-04
-2.900900900900901291e+01,2.321872686523837506e-04
-2.888888888888888573e+01,9.468404658797101433e-04
-2.876876876876876565e+01,3.473900451245383759e-04
-2.864864864864864913e+01,6.737182537671528157e-04
-2.852852852852853260e+01,6.484892536998948910e-04
-2.840840840840841608e+01,2.909453460274320498e-04
-2.828828828828828890e+01,7.195018828580005679e-04
-2.816816816816816171e+01,7.520269401857098161e-05
-2.804804804804804519e+01,6.069276968882882312e-04
-2.792792792792792156e+01,3.412624008188811777e-04
-2.780780780780781214e+01,3.882538497558588562e-04
-2.768768768768768851e+01,4.753153471444662476e-04
-2.756756756756756133e+01,1.382355511715331446e-04
-2.744744744744744480e+01,4.837875209896144138e-04
-2.732732732732732117e+01,8.480945541450265253e-05
-2.720720720720721175e+01,3.955895003439195722e-04
-2.708708708708708812e+01,2.441057570744983830e-04
-2.696696696696696094e+01,2.497266243953290342e-04
-2.684684684684684441e+01,3.238360926080230103e-04
-2.672672672672672789e+01,8.547313661277946531e-05
-2.660660660660661136e+01,3.260583585788740598e-04
-2.648648648648648418e+01,6.312791511936459801e-05
-2.636636636636636410e+01,2.650612572762864045e-04
-2.624624624624624403e+01,1.725877127948599534e-04
-2.612612612612612750e+01,1.642081249522434820e-04
-2.600600600600601098e+01,2.277931263907570514e-04
-2.588588588588588379e+01,4.623839336460986056e-05
-2.576576576576576372e+01,2.280565989428605855e-04
-2.564564564564564719e+01,6.401140669465741023e-05
-2.552552552552552356e+01,1.790265213481199926e-04
-2.540540540540540704e+01,1.468285499137247159e-04
-2.528528528528529051e+01,9.375901352774170623e-05
-2.516516516516517044e+01,1.867628575725107645e-04
-2.504504504504504325e+01,1.177865596507694089e-05
-2.492492492492492318e+01,1.760717029561722233e-04
-2.480480480480480665e+01,1.153005962249050158e-04
-2.468468468468469013e+01,1.109363224471563065e-04
-2.456456456456457005e+01,1.911970854681583948e-04
-2.444444444444445352e+01,3.418292339067363478e-06
-2.432432432432432279e+01,2.180262728833393950e-04
-2.420420420420420982e+01,1.770304679721470945e-04
-2.408408408408407908e+01,6.781522865473055316e-05
-2.396396396396396256e+01,1.306362987674095761e-04
-2.384384384384384603e+01,1.864395407988207320e-04
-2.372372372372371885e+01,5.391650942840418154e-04
-2.360360360360360943e+01,4.259574847498078139e-04
-2.348348348348347869e+01,8.625156518904183328e-05
-2.336336336336336217e+01,3.486014063080315230e-04
-2.324324324324324564e+01,5.095058311344542303e-07
-2.312312312312311846e+01,4.429994165560446678e-04
-2.300300300300301259e+01,2.693493377402279279e-04
-2.288288288288288541e+01,3.367403705438763760e-04
-2.276276276276275823e+01,4.739844387942753769e-04
-2.264264264264264170e+01,1.254320484797623878e-04
-2.252252252252251807e+01,5.819412442617082895e-04
-2.240240240240240865e+01,1.501526869674119872e-04
-2.228228228228228502e+01,5.653899833183825743e-04
-2.216216216216216850e+01,4.337840734292211379e-04
-2.204204204204204132e+01,4.173967202963648165e-04
-2.192192192192191413e+01,6.689900675255803456e-04
-2.180180180180180827e+01,1.529304800214753557e-04
-2.168168168168168108e+01,8.042415389731750368e-04
-2.156156156156156456e+01,1.925944947854617674e-04
-2.144144144144144803e+01,7.995065420734865334e-04
-2.132132132132131730e+01,5.655708601020410699e-04
-2.120120120120120788e+01,6.323868515879557239e-04
-2.108108108108108070e+01,9.009973580592699031e-04
-2.096096096096096417e+01,3.059203425399950648e-04
-2.084084084084084409e+01,1.128040793894111117e-03
-2.072072072072071691e+01,1.498742717025568921e-04
-2.060060060060061105e+01,1.183216039764719684e-03
-2.048048048048048031e+01,6.753564559180213296e-04
-2.036036036036036379e+01,1.020326974422192893e-03
-2.024024024024024015e+01,1.186084678058239774e-03
-2.012012012012011652e+01,6.226409684127647351e-04
-2.000000000000000711e+01,1.581861621760070023e-03
-1.987987987987987992e+01,1.178726015153351870e-05
-1.975975975975976340e+01,1.761873578032529131e-03
-1.963963963963963977e+01,7.437172773791054375e-04
-1.951951951951951614e+01,1.638214497261720765e-03
-1.939939939939940672e+01,1.533655972710249891e-03
-1.927927927927927598e+01,1.159640584422710939e-03
-1.915915915915915946e+01,2.209702056838375606e-03
-1.903903903903904293e+01,3.277133899126927208e-04
-1.891891891891891930e+01,2.604523142988290994e-03
-1.879879879879880633e+01,7.813691846163025711e-04
-1.867867867867867915e+01,2.551562243007728797e-03
-1.855855855855855907e+01,2.008545363569530420e-03
-1.843843843843843899e+01,1.926189242463211861e-03
-1.831831831831831892e+01,3.100524423909904910e-03
-1.819819819819820594e+01,7.110552547761184302e-04
-1.807807807807807521e+01,3.810651470734934074e-03
-1.795795795795795868e+01,1.330877880743929235e-03
-1.783783783783784216e+01,2.596832266092367197e-03
-1.771771771771771498e+01,7.992266778262383832e-04
-1.759759759759760200e+01,5.393332072334366609e-03
-1.747747747747748193e+01,7.441219762594796991e-03
-1.735735735735735474e+01,2.566462199409368615e-03
-1.723723723723723822e+01,1.818104232203392873e-03
-1.711711711711711814e+01,3.223633893023906613e-04
-1.699699699699700162e+01,4.204848636864630222e-03
-1.687687687687688154e+01,2.267743931062860072e-03
-1.675675675675676501e+01,3.111733592175946941e-03
-1.663663663663663783e+01,3.242137552885288737e-03
-1.651651651651651775e+01,2.296587642133798499e-03
-1.639639639639639412e+01,4.266699188205221038e-03
-1.627627627627627760e+01,1.094098613907509843e-03
-1.615615615615616107e+01,5.122221821285832463e-03
-1.603603603603604100e+01,5.991424964108608671e-04
-1.591591591591591559e+01,5.542802395748364953e-03
-1.579579579579579374e+01,2.750504274047845150e-03
-1.567567567567567721e+01,5.208180672651631198e-03
-1.555555555555556069e+01,5.125882707738418226e-03
-1.543543543543543883e+01,3.864486264578036439e-03
-1.531531531531531343e+01,7.315443152160754949e-03
-1.519519519519519335e+01,1.423636159369296664e-03
-1.507507507507507682e+01,8.804923706611518519e-03
-1.495495495495495852e+01,1.972228374775553822e-03
-1.483483483483483845e+01,9.080291906560676238e-03
-1.471471471471471304e+01,5.924520570174653111e-03
-1.459459459459459119e+01,7.738728656981728841e-03
-1.447447447447447466e+01,9.811936339087520484e-03
-1.435435435435435814e+01,4.607494610214584764e-03
-1.423423423423423628e+01,1.286098130866671768e-02
-1.411411411411411088e+01,1.735409970216923064e-04
-1.399399399399398902e+01,1.427129393074850691e-02
-1.387387387387387250e+01,6.106250315482004802e-03
-1.375375375375375597e+01,1.336759863138817922e-02
-1.363363363363363590e+01,1.234603337706005610e-02
-1.351351351351351404e+01,9.754092413003673592e-03
-1.339339339339338864e+01,1.778981470716796409e-02
-1.327327327327327211e+01,3.457123711745493152e-03
-1.315315315315315559e+01,2.122258635867984786e-02
-1.303303303303303373e+01,4.986317633568868035e-03
-1.291291291291291188e+01,2.152095872989233383e-02
-1.279279279279279535e+01,1.450859244346890987e-02
-1.267267267267266995e+01,1.787726381372786028e-02
-1.255255255255254809e+01,2.358734407075715675e-02
-1.243243243243243690e+01,1.002102201989398325e-02
-1.231231231231231149e+01,3.040908829013408421e-02
-1.219219219219219497e+01,1.578075746288624395e-03
-1.207207207207207844e+01,3.322718468253909457e-02
-1.195195195195194771e+01,1.606483353967362929e-02
-1.183183183183183473e+01,2.916488769484226404e-02
-1.171171171171171466e+01,2.805690533212589280e-02
-1.159159159159159280e+01,2.400127955886630776e-02
-1.147147147147147628e+01,4.615008818730236689e-02
-1.135135135135134554e+01,1.060228697461539126e-03
-1.123123123123123435e+01,4.498968424833908741e-02
-1.111111111111111249e+01,1.168616394951499729e-02
-1.099099099099099242e+01,4.955216967600731270e-02
-1.087087087087087589e+01,3.665931976879294868e-02
-1.075075075075074515e+01,3.795449071540967639e-02
-1.063063063063063751e+01,5.576924023895523524e-02
